#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-05 11:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-05 11:00:02 UTC


綜藝,#genre#
東森衛視,https://t.freetv.fun/live/dong-sen-mei-zhou-xin-wen-tai.m3u8
東森超視[geo-blocked],rtmp://f13h.mine.nu/sat/tv331
東森超視,https://t.freetv.fun/live/dong-sen-chao-shi-34-5-1.m3u8
東森超視,https://t.freetv.fun/live/dong-sen-chao-shi-34-5-2.m3u8
民視,https://t.freetv.fun/live/min-shi-2.php
民視[geo-blocked],rtmp://f13h.mine.nu/sat/tv051
民視HD,https://t.freetv.fun/live/min-shi.m3u8
民視HD,https://t.freetv.fun/live/min-shi-1.ts
民視HD,https://t.freetv.fun/live/min-shi-3-1.m3u8
民視HD,https://t.freetv.fun/live/min-shi-28.m3u8
民視HD,https://t.freetv.fun/live/min-shi-a.m3u8
民視第一台,https://t.freetv.fun/live/min-shi-di-yi.m3u8
民視第一台,https://t.freetv.fun/live/min-shi-di-yi-a.m3u8
民視第一臺,https://t.freetv.fun/live/min-shi-di-yi-1.php
民視臺灣台,https://t.freetv.fun/live/min-shi-tai-wan.m3u8
民視臺灣台,https://t.freetv.fun/live/min-shi-tai-wan-1.php
民視臺灣台,https://t.freetv.fun/live/min-shi-tai-wan-a.m3u8
緯來育樂[geo-blocked],rtmp://f13h.mine.nu/sat/tv701
臺視綜合,https://t.freetv.fun/live/tai-shi-zong-he.m3u8
臺視綜合,https://t.freetv.fun/live/tai-shi-zong-he-a.m3u8
華視[geo-blocked],rtmp://f13h.mine.nu/sat/tv111
華視HD,https://t.freetv.fun/live/hua-shi-1.m3u8
華視HD,https://t.freetv.fun/live/hua-shi-2.ts
華視HD,https://t.freetv.fun/live/hua-shi-28.m3u8
華視HD,https://t.freetv.fun/live/hua-shi-a.m3u8
華視HD,https://t.freetv.fun/live/hua-shi-3.php
華視教育文化,https://t.freetv.fun/live/hua-shi-jiao-yu-ti-yu-wen-hua.m3u8
靖天綜合,https://t.freetv.fun/live/jing-tian-zong-he.php
兒童,#genre#
DreamWorks(TW),https://t.freetv.fun/live/dreamworksmeng-gong-han-dong-hua.m3u8
Nice Bingo,https://t.freetv.fun/live/jing-yang-qia-tong-tai-nice-bingo.php
精選動漫臺,https://t.freetv.fun/live/jing-xuan-dong-man.m3u8
靖天卡通,https://t.freetv.fun/live/jing-tian-qia-tong.php
靖天育樂,https://t.freetv.fun/live/jing-tian-yu-le.php
龍華卡通,https://t.freetv.fun/live/long-hua-qia-tong.php
知識,#genre#
BBC Earth(tw),https://t.freetv.fun/live/bbc-earth.m3u8
BBC Earth(tw),https://t.freetv.fun/live/bbc-earth-1.m3u8
BBC Earth(tw),https://t.freetv.fun/live/bbc-earth-us.m3u8
BBC Earth(tw),https://t.freetv.fun/live/ch-ng-bbc-earth.m3u8
DISCOVERY HD WORLD,https://t.freetv.fun/live/discovery-world.m3u8
DISCOVERY HD WORLD,https://t.freetv.fun/live/discovery-world-1.m3u8
DISCOVERY HD WORLD,https://t.freetv.fun/live/discovery-world-2.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-1.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-id.m3u8
Discovery(TW),https://t.freetv.fun/live/asharq-discovery.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-theater.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-hh.m3u8
Discovery(TW),https://t.freetv.fun/live/tlc-discovery.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-theater-1.m3u8
Discovery(TW),https://t.freetv.fun/live/discovery-theater-2.m3u8
HGTV(TW),https://t.freetv.fun/live/ch-ng-hgtv.m3u8
HGTV(TW),https://t.freetv.fun/live/hgtv-west.m3u8
Love Nature,https://t.freetv.fun/live/love-nature-1.m3u8
Love Nature,https://t.freetv.fun/live/love-nature-2.m3u8
Love Nature,https://t.freetv.fun/live/love-nature-3.m3u8
Love Nature,https://t.freetv.fun/live/love-nature-4.m3u8
Smithsonian Channel,https://t.freetv.fun/live/smithsonian-channel-selects-1.m3u8
Smithsonian Channel,https://t.freetv.fun/live/smithsonian-channel-selects-1.m3u8
Smithsonian Channel,https://t.freetv.fun/live/smithsonian-channel-pluto-tv.m3u8
Smithsonian Channel,https://t.freetv.fun/live/smithsonian-channel-pluto-tv-1.m3u8
影迷數位紀實臺,https://t.freetv.fun/live/ying-mi-shu-wei-ji-shi.php
視納華仁紀實[geo-blocked],https://t.freetv.fun/live/shi-na-hua-ren-ji-shi.php
達文西頻道,https://t.freetv.fun/live/da-wen-xi.php
電影,#genre#
AMC電影,https://t.freetv.fun/live/amcdian-ying.m3u8
HBO Asia臺灣地區頻道,https://t.freetv.fun/live/hbo-3.m3u8
Hollywood,https://t.freetv.fun/live/hollywood.m3u8
Hollywood,https://t.freetv.fun/live/young-hollywood.m3u8
Hollywood,https://t.freetv.fun/live/young-hollywood-1.m3u8
Hollywood,https://t.freetv.fun/live/hollywood-1.m3u8
Hollywood,https://t.freetv.fun/live/hollywood-sf.m3u8
ROCK Stream,https://t.freetv.fun/live/rock-2.m3u8
Star Movies Gold,https://t.freetv.fun/live/gold-star.m3u8
公視戲劇,https://t.freetv.fun/live/gong-shi-xi-ju.m3u8
公視戲劇,https://t.freetv.fun/live/gong-shi-xi-ju-1.php
影迷數位電影臺,https://t.freetv.fun/live/ying-mi-shu-wei-dian-ying.php
影迷數位電影臺,https://t.freetv.fun/live/ying-mi-shu-wei-dian-ying-1.m3u8
東森戲劇[geo-blocked],https://t.freetv.fun/live/dong-sen-xi-ju-ee.php
東森洋片[geo-blocked],https://t.freetv.fun/live/dong-sen-yang-pian-ee.php
東森電影[geo-blocked],https://t.freetv.fun/live/dong-sen-dian-ying-ee.php
民視影劇臺,https://t.freetv.fun/live/min-shi-ying-ju.php
經典電影臺,https://t.freetv.fun/live/jing-dian-dian-ying.m3u8
經典電影臺,https://t.freetv.fun/live/jing-dian-dian-ying-1.m3u8
經典電影臺,https://t.freetv.fun/live/jing-dian-xiang-gang-dian-ying-1.m3u8
經典電影臺,https://t.freetv.fun/live/jing-dian-xiang-gang-dian-ying-3.m3u8
經典電影臺,https://t.freetv.fun/live/jing-dian-xiang-gang-dian-ying.m3u8
臺灣戲劇臺,https://t.freetv.fun/live/tai-wan-xi-ju.php
采昌影劇,https://t.freetv.fun/live/cai-chang-ying-ju.m3u8
采昌影劇,https://t.freetv.fun/live/cai-chang-ying-ju-1.php
靖天戲劇,https://t.freetv.fun/live/jing-tian-xi-ju.m3u8
靖天戲劇,https://t.freetv.fun/live/jing-tian-xi-ju-1.php
靖天日本,https://t.freetv.fun/live/jing-tian-ri-ben.php
靖天映畫,https://t.freetv.fun/live/jing-tian-ying-hua.m3u8
靖天映畫,https://t.freetv.fun/live/jing-tian-ying-hua-1.php
靖天電影,https://t.freetv.fun/live/jing-tian-dian-ying.m3u8
靖天電影,https://t.freetv.fun/live/jing-tian-dian-ying-1.php
靖洋戲劇,https://t.freetv.fun/live/jing-yang-xi-ju.m3u8
靖洋戲劇,https://t.freetv.fun/live/jing-yang-xi-ju-1.php
龍華偶像,https://t.freetv.fun/live/long-hua-ou-xiang.php
龍華戲劇,https://t.freetv.fun/live/long-hua-xi-ju.php
龍華日韓,https://t.freetv.fun/live/long-hua-ri-han.php
龍華洋片,https://t.freetv.fun/live/long-hua-yang-pian.php
龍華經典,https://t.freetv.fun/live/long-hua-jing-dian.php
龍華電影,https://t.freetv.fun/live/long-hua-dian-ying.php
音樂,#genre#
CHANNEL [V],https://t.freetv.fun/live/tennis-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/light-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/light-channel-2.m3u8
CHANNEL [V],https://t.freetv.fun/live/channel-s.m3u8
CHANNEL [V],https://t.freetv.fun/live/pursuit-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/ivoire-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/kurd-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/cowboy-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/channel-11-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/tennis-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/kartoon-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/pursuit-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/channel-divya.m3u8
CHANNEL [V],https://t.freetv.fun/live/concert-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/f1-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/concert-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/nascar-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/motogp-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/miramax-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/cowboy-channel-1.m3u8
CHANNEL [V],https://t.freetv.fun/live/up-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/urochannel.m3u8
CHANNEL [V],https://t.freetv.fun/live/channel-c.php
CHANNEL [V],https://t.freetv.fun/live/the-lego-channel.m3u8
CHANNEL [V],https://t.freetv.fun/live/ena-channel.m3u8
MEZZO LIVE(TW),https://t.freetv.fun/live/mezzo-live.php
新聞,#genre#
TVBS新聞HD,https://t.freetv.fun/live/tvbsxin-wen.m3u8
三立INEWS HD,https://t.freetv.fun/live/san-li-xin-wen-inews.php
中天新聞FHD,https://t.freetv.fun/live/zhong-tian-xin-wen-1.php
中視新聞[geo-blocked],https://t.freetv.fun/live/zhong-shi-xin-wen-ee.php
中視新聞FHD,https://t.freetv.fun/live/zhong-shi-xin-wen.m3u8
中視新聞FHD,https://t.freetv.fun/live/zhong-shi-xin-wen-a.m3u8
中視新聞臺[geo-blocked],https://t.freetv.fun/live/zhong-shi-xin-wen-1.m3u8
中視新聞臺,https://t.freetv.fun/live/zhong-shi-xin-wen-1-1.php
台視新聞FHD,https://t.freetv.fun/live/tai-shi-xin-wen-1.m3u8
台視新聞FHD,https://t.freetv.fun/live/tai-shi-xin-wen-1-1.m3u8
台視新聞FHD,https://t.freetv.fun/live/tai-shi-xin-wen-a.m3u8
台視新聞FHD,https://t.freetv.fun/live/tai-shi-xin-wen-1-3.m3u8
寰宇新聞,https://t.freetv.fun/live/huan-yu-xin-wen.php
寰宇新聞FHD,https://t.freetv.fun/live/huan-yu-xin-wen-1.m3u8
寰宇新聞台灣臺,https://t.freetv.fun/live/huan-yu-xin-wen-tai-wan.php
寰宇財經,https://t.freetv.fun/live/huan-yu-cai-jing.php
東森新聞HD,https://t.freetv.fun/live/dong-sen-xin-wen.ts
東森新聞HD[geo-blocked],https://t.freetv.fun/live/dong-sen-xin-wen-ee.php
東森新聞臺,https://t.freetv.fun/live/dong-sen-xin-wen-1.php
東森財經新聞,https://t.freetv.fun/live/dong-sen-cai-jing-xin-wen.php
民視新聞 HD,https://t.freetv.fun/live/min-shi-xin-wen-2.m3u8
民視新聞 HD,https://t.freetv.fun/live/min-shi-xin-wen-1-1.php
民視新聞FHD,https://t.freetv.fun/live/min-shi-xin-wen-a.m3u8
民視新聞HD,https://t.freetv.fun/live/min-shi-xin-wen.m3u8
民視新聞HD,https://t.freetv.fun/live/min-shi-xin-wen-1.ts
臺視HD,https://t.freetv.fun/live/tai-shi.php
臺視新聞臺,https://t.freetv.fun/live/tai-shi-xin-wen.m3u8
臺視新聞臺,https://t.freetv.fun/live/tai-shi-xin-wen-2.m3u8
臺視新聞臺,https://t.freetv.fun/live/tai-shi-xin-wen-1-2.m3u8
臺視新聞臺,https://t.freetv.fun/live/tai-shi-xin-wen-2-1.m3u8
臺視新聞臺,https://t.freetv.fun/live/tai-shi-xin-wen-3.php
臺視財經,https://t.freetv.fun/live/tai-shi-cai-jing-a.m3u8
臺視財經臺,https://t.freetv.fun/live/tai-shi-cai-jing.m3u8
臺視財經臺,https://t.freetv.fun/live/tai-shi-cai-jing-1.php
華視新聞,https://t.freetv.fun/live/hua-shi-xin-wen.php
華視新聞資訊,https://t.freetv.fun/live/hua-shi-xin-wen-zi-xun.m3u8
鏡新聞,https://t.freetv.fun/live/jing-xin-wen.m3u8
鏡新聞,https://t.freetv.fun/live/jing-xin-wen-1.m3u8
靖天資訊,https://t.freetv.fun/live/jing-tian-zi-xun.php
非凡商業,https://t.freetv.fun/live/fei-fan-shang-ye.php
非凡新聞HD[geo-blocked],rtmp://f13h.mine.nu/sat/tv581
非凡新聞HD,https://t.freetv.fun/live/fei-fan-xin-wen-3.php
其它,#genre#
Food Network(TW),https://t.freetv.fun/live/food-network-1.m3u8
Food Network(TW),https://t.freetv.fun/live/ch-ng-food-network.m3u8
Food Network(TW),https://t.freetv.fun/live/food-network-west.m3u8
NICE TV,https://t.freetv.fun/live/unife-tv.m3u8
PET CLUB TV,https://t.freetv.fun/live/pet-club-tv.php
PET CLUB TV,https://t.freetv.fun/live/ch-ng-pet-club.m3u8
PET CLUB TV,https://t.freetv.fun/live/pet-club-tv-2.m3u8
SMART知識頻道,https://t.freetv.fun/live/smartzhi-shi.php
亞洲旅遊臺,https://t.freetv.fun/live/ya-zhou-lu-you.php
人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi.m3u8
人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi-1.m3u8
人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi-2.m3u
人間衛視,https://t.freetv.fun/live/ren-jian-wei-shi-3.m3u
好訊息,https://t.freetv.fun/live/hao-xiao-xi.php
好訊息 2,https://t.freetv.fun/live/hao-xiao-xi-2.php
好訊息 2[geo-blocked],https://t.freetv.fun/live/hao-xiao-xi-2-1.m3u8
民視旅遊臺,https://t.freetv.fun/live/min-shi-lu-you.php
運動,#genre#
DAZN 1(TW),https://t.freetv.fun/live/dazn-combat.m3u8
DAZN 1(TW),https://t.freetv.fun/live/dazn-ringside.m3u8
DAZN 1(TW),https://t.freetv.fun/live/dazn-ringside-1.m3u8
DAZN 1(TW)[geo-blocked],rtmp://f13h.mine.nu/sat/tv731
DAZN 1(TW),https://t.freetv.fun/live/dazn-ringside-2.m3u8
DAZN 1(TW),https://t.freetv.fun/live/dazn-combat-1.m3u8
DAZN 1(TW)[geo-blocked],https://t.freetv.fun/live/dazn-combat-2.m3u8
ELTA體育2(備用),https://t.freetv.fun/live/cctv4mei-zhou.m3u8
ELTA體育4(備用),https://t.freetv.fun/live/delta-tv-1.m3u8
NBA頻道,https://t.freetv.fun/live/nba-usa.m3u8
NBA頻道,https://t.freetv.fun/live/nba.m3u8
博斯無限,https://t.freetv.fun/live/bo-si-wu-xian-er.php
博斯無限,https://t.freetv.fun/live/bo-si-wu-xian.php
博斯網球,https://t.freetv.fun/live/bo-si-wang-qiu.m3u8
博斯網球,https://t.freetv.fun/live/bo-si-wang-qiu-1.m3u8
博斯網球,https://t.freetv.fun/live/bo-si-wang-qiu-2.php
博斯運動[geo-blocked],https://t.freetv.fun/live/bo-si-yun-dong-er.php
博斯運動,https://t.freetv.fun/live/bo-si-yun-dong-yi.php
博斯高球,https://t.freetv.fun/live/bo-si-gao-qiu.php
博斯高球,https://t.freetv.fun/live/bo-si-gao-qiu-er.php
博斯魅力,https://t.freetv.fun/live/bo-si-mei-li.php
時尚運動X,https://t.freetv.fun/live/shi-shang-yun-dong-x.php
智林體育,https://t.freetv.fun/live/zhi-lin-ti-yu.php
緯來體育[geo-blocked],rtmp://f13h.mine.nu:1935/sat/tv721
緯來體育[geo-blocked],rtmp://f13h.mine.nu/sat/tv721
緯來體育[geo-blocked],https://t.freetv.fun/live/wei-lai-ti-yu-ee.php
