#This file is automatically generated by https://freetv.fun and is mainly used to test the accuracy of our EPG.
#The following test channels are from public sharing on the Internet.
#freetv.fun does not provide or store any streaming media content.All channels are automatically collected from the network through crawlers, without any manual participation, just for testing purposes. Therefore, we do not guarantee the stability and legality of the channels, nor do we assume corresponding legal responsibilities. All legal responsibilities It should be the responsibility of the user and the source provider.
#If you don't know how to use it, or don't have time to test it, you can download this recommended app for testing.
#https://freetv.fun/app
#Generated on: 2026-05-06 01:00:02 UTC


#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
#以下的測試頻道均為網路上的公開分享頻道.
#freetv.fun並不提供也不儲存任何的流媒體內容.所有的頻道都是由自動化系統通過網路自動收集而來,並沒有任何人工參與,僅僅只是為了測試.因此我們並不保證頻道的穩定性與合法性,我們也不承擔任何相關的法律責任.所有的法律責任與相關後果應由頻道的使用者與提供者自行承擔.
#如果您不知道如何使用這個檔案,或者並沒有時間進行測試,那麼您可以下載我們推薦的APP來進行測試.
#下載地址為https://freetv.fun/app
#生成時間: 2026-05-06 01:00:02 UTC


綜藝,#genre#
ViuTV HD[geo-blocked],https://t.freetv.fun/live/viutv-ee.php
ViuTVsix,https://t.freetv.fun/live/viutvsix.m3u8
ViuTVsix,https://t.freetv.fun/live/viutvsix-b.m3u8
ViuTVsix[geo-blocked],https://t.freetv.fun/live/viutvsix-ee.php
星空衛視[geo-blocked],https://t.freetv.fun/live/xing-kong-wei-shi-1.m3u8
港臺電視31,https://t.freetv.fun/live/gang-tai-dian-shi-31gao-qing.m3u8
港臺電視31,https://t.freetv.fun/live/gang-tai-dian-shi-31.m3u8
綜合,#genre#
翡翠台,https://t.freetv.fun/live/fei-cui-6.m3u8
翡翠台[geo-blocked],https://t.freetv.fun/live/fei-cui-tai.m3u8
翡翠台[geo-blocked],https://t.freetv.fun/live/fei-cui.m3u8
翡翠台[geo-blocked],https://t.freetv.fun/live/fei-cui-1.m3u8
翡翠台,https://t.freetv.fun/live/fei-cui-2.php
翡翠台,https://t.freetv.fun/live/fei-cui-3.m3u8
翡翠台,https://t.freetv.fun/live/fei-cui-4.php
翡翠台,https://t.freetv.fun/live/fei-cui-5.m3u8
翡翠台,https://t.freetv.fun/live/fei-cui-8.php
翡翠台,https://t.freetv.fun/live/fei-cui-9.m3u8
鳳凰衛視中文,https://t.freetv.fun/live/feng-huang-zhong-wen.m3u8
鳳凰衛視中文,https://t.freetv.fun/live/feng-huang-zhong-wen-1.php
鳳凰衛視中文[geo-blocked],https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen.m3u8
鳳凰衛視中文[geo-blocked],https://t.freetv.fun/live/feng-huang-wei-shi-zhong-wen-2.m3u8
鳳凰香港,https://t.freetv.fun/live/feng-huang-xiang-gang-1.php
兒童,#genre#
Animax(HK),https://t.freetv.fun/live/cctv-8dian-shi-ju.m3u8
Animax(HK),https://t.freetv.fun/live/cctv-5ti-yu.m3u8
Animax(HK)[geo-blocked],https://t.freetv.fun/live/cctv-1zong-he-1.m3u8
Animax(HK)[geo-blocked],https://t.freetv.fun/live/cctv-9ji-lu.m3u8
Animax(HK),https://t.freetv.fun/live/cctv-12she-hui-yu-fa.m3u8
Animax(HK),https://t.freetv.fun/live/animax-2.m3u8
Animax(HK),https://t.freetv.fun/live/animax-28.m3u8
知識,#genre#
Discovery Kids,https://t.freetv.fun/live/discovery-kids.m3u8
電影,#genre#
MOVIE MOVIE,https://t.freetv.fun/live/mytime-movie-network-2.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/paramount-movie-channel.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/paramount-movie-channel-1.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/mytime-movie-network-3.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/mytime-movie-network-4.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/artflix-movie-classics.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/movie-music.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/maha-movie.m3u8
MOVIE MOVIE[geo-blocked],https://t.freetv.fun/live/genie-k-movie.m3u8
MOVIE MOVIE[geo-blocked],https://t.freetv.fun/live/genie-k-movie-1.m3u8
MOVIE MOVIE[geo-blocked],https://t.freetv.fun/live/the-movie-club.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/hallmark-movie-east.m3u8
MOVIE MOVIE,https://t.freetv.fun/live/hallmark-movie-west.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-1.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-2.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-4.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-5.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-6.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbsya-zhou-7.m3u8
TVB亞洲劇,https://t.freetv.fun/live/tvbya-zhou-ju-tai.m3u8
TVB星河(粵),https://t.freetv.fun/live/tvbxing-he.m3u8
TVB星河(粵),https://t.freetv.fun/live/tvbxing-he-1.m3u8
TVB星河(粵),https://t.freetv.fun/live/tvbxing-he-2.m3u8
TVB華劇[geo-blocked],https://t.freetv.fun/live/tvbhuang-jin-hua-ju.php
TVB華劇,https://t.freetv.fun/live/tvbhua-li.php
TVB黃金翡翠台[geo-blocked],https://t.freetv.fun/live/tvbfei-cui.php
戲曲臺,https://t.freetv.fun/live/xi-qu.m3u8
明珠,https://t.freetv.fun/live/ming-zhu-4.php
明珠[geo-blocked],https://t.freetv.fun/live/ming-zhu-7.m3u8
明珠,https://t.freetv.fun/live/ming-zhu-tai-gao-qing.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu.php
明珠臺(備),https://t.freetv.fun/live/ming-zhu-5.php
明珠臺(備),https://t.freetv.fun/live/ming-zhu-1.m3u8
明珠臺(備),https://t.freetv.fun/live/ming-zhu-2.m3u8
明珠臺(備)[geo-blocked],https://t.freetv.fun/live/ming-zhu-3.m3u8
新聞,#genre#
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-3.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-3.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1zong-he-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1zong-he-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1zong-he-3.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-zong-he.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-8m1080.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv1-8m1080-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-1.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-4.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-1hd-5.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-2.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-3.m3u8
CCTV1(RTHK33)[geo-blocked],https://t.freetv.fun/live/cctv-4kchao-gao-qing-5.m3u8
CCTV1(RTHK33)[geo-blocked],https://t.freetv.fun/live/cctv-4kchao-gao-qing-6.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-7.m3u8
CCTV1(RTHK33),https://t.freetv.fun/live/cctv-4kchao-gao-qing-8.m3u8
HOY TV,https://t.freetv.fun/live/hoy-tv-1.m3u8
RTHK32,https://t.freetv.fun/live/rthk-32.m3u8
RTHK32,https://t.freetv.fun/live/rthk-32-1.m3u8
港臺電視32,https://t.freetv.fun/live/gang-tai-dian-shi-32gao-qing.m3u8
無線新聞臺,https://t.freetv.fun/live/wu-xian-xin-wen.m3u8
無線新聞臺,https://t.freetv.fun/live/wu-xian-xin-wen-1.m3u8
鳳凰資訊HD,https://t.freetv.fun/live/feng-huang-wei-shi-zi-xun.m3u8
鳳凰資訊HD[geo-blocked],https://t.freetv.fun/live/feng-huang-wei-shi-zi-xun-1.m3u8
其它,#genre#
snaap!,https://t.freetv.fun/live/snap.m3u8
運動,#genre#
ASN HD,https://t.freetv.fun/live/awsn.m3u8
Sports Plus 1,https://t.freetv.fun/live/ch-ng-sky-sports-plus.m3u8
Sports Plus 2,https://t.freetv.fun/live/tigo-sports-plus.m3u8
